tracker,seq,week,code,total_sold,total_units,teduh_name,note,block_note
status13,14,2026-07-31,5911-33,976,,,seeded from existing tracker,
status13,14,2026-07-31,30363-2,1117,,,seeded from existing tracker,
status13,14,2026-07-31,30821-1,485,,,seeded from existing tracker,
status13,14,2026-07-31,30366-1,465,,,seeded from existing tracker,
status13,14,2026-07-31,13074-4,234,,,seeded from existing tracker,
status13,14,2026-07-31,8824-5,591,,,seeded from existing tracker,
status13,14,2026-07-31,20253-3,1135,,,seeded from existing tracker,
status13,14,2026-07-31,30876-1,121,,,seeded from existing tracker,
status13,14,2026-07-31,30250-2,659,,,seeded from existing tracker,
status13,14,2026-07-31,NOCODE-R16,0,,,seeded from existing tracker,
status13,15,2026-08-07,13262-2,319,,,seeded from existing tracker,
status13,15,2026-08-07,30590-2,112,,,seeded from existing tracker,
status13,15,2026-08-07,5911-33,985,,,seeded from existing tracker,
status13,15,2026-08-07,30363-2,1119,,,seeded from existing tracker,
status13,15,2026-08-07,30821-1,491,,,seeded from existing tracker,
status13,15,2026-08-07,30366-1,465,,,seeded from existing tracker,
status13,15,2026-08-07,13074-4,235,,,seeded from existing tracker,
status13,15,2026-08-07,8824-5,608,,,seeded from existing tracker,
status13,15,2026-08-07,20253-3,1139,,,seeded from existing tracker,
status13,15,2026-08-07,30876-1,124,,,seeded from existing tracker,
status13,15,2026-08-07,30250-2,659,,,seeded from existing tracker,
status13,15,2026-08-07,NOCODE-R16,0,,,seeded from existing tracker,
johor,,2026-06-19,835-14,275,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-06-26,835-14,286,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-07-03,835-14,283,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-07-10,835-14,285,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-07-17,835-14,283,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-07-24,835-14,285,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-07-31,835-14,291,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-08-07,835-14,293,,,seeded from your report,"Latets sales - Block A: 187 units, Block B: 106 units"
johor,,2026-06-19,30946-1,842,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-06-26,30946-1,843,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-07-03,30946-1,853,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-07-10,30946-1,901,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-07-17,30946-1,905,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-07-24,30946-1,916,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-07-31,30946-1,925,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-08-07,30946-1,935,,,seeded from your report,"Latest sales - Block A: 379 units, Block B: 363 units, Blok C: 86 units,  Block D: 107 units"
johor,,2026-06-19,14523-4,34,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-06-26,14523-4,38,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-07-03,14523-4,39,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-07-10,14523-4,42,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-07-17,14523-4,45,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-07-24,14523-4,46,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-07-31,14523-4,48,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-08-07,14523-4,47,,,seeded from your report,Open Sale for Block A (416 units) only.
johor,,2026-06-19,30635-1,1010,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
