week,project_key,tracker,project,unit_type,sold,seen
2026-07-24,parkland-phase-1,johor,,A,105,
2026-07-24,parkland-phase-1,johor,,B,267,
2026-07-24,parkland-phase-1,johor,,C,294,
2026-07-31,parkland-phase-1,johor,,A,129,
2026-07-31,parkland-phase-1,johor,,B,265,
2026-07-31,parkland-phase-1,johor,,C,272,
2026-08-07,parkland-phase-1,johor,,A,129,
2026-08-07,parkland-phase-1,johor,,B,265,
2026-08-07,parkland-phase-1,johor,,C,272,
2026-06-05,parkland-phase-2,johor,,A,75,
2026-06-05,parkland-phase-2,johor,,B,172,
2026-06-05,parkland-phase-2,johor,,C,91,
2026-06-12,parkland-phase-2,johor,,A,82,
2026-06-12,parkland-phase-2,johor,,B,156,
2026-06-12,parkland-phase-2,johor,,C,100,
2026-06-19,parkland-phase-2,johor,,A,87,
2026-06-19,parkland-phase-2,johor,,B,156,
2026-06-19,parkland-phase-2,johor,,C,100,
2026-06-26,parkland-phase-2,johor,,A,78,
2026-06-26,parkland-phase-2,johor,,B,156,
2026-06-26,parkland-phase-2,johor,,C,115,
2026-07-03,parkland-phase-2,johor,,A,78,
2026-07-03,parkland-phase-2,johor,,B,162,
2026-07-03,parkland-phase-2,johor,,C,112,
2026-07-10,parkland-phase-2,johor,,A,80,
2026-07-10,parkland-phase-2,johor,,B,171,
2026-07-10,parkland-phase-2,johor,,C,116,
2026-07-17,parkland-phase-2,johor,,A,78,
2026-07-17,parkland-phase-2,johor,,B,173,
2026-07-17,parkland-phase-2,johor,,C,120,
2026-07-24,parkland-phase-2,johor,,A,80,
2026-07-24,parkland-phase-2,johor,,B,175,
2026-07-24,parkland-phase-2,johor,,C,124,
2026-07-31,parkland-phase-2,johor,,A,85,
2026-07-31,parkland-phase-2,johor,,B,177,
2026-07-31,parkland-phase-2,johor,,C,122,
2026-08-07,parkland-phase-2,johor,,A,85,
2026-08-07,parkland-phase-2,johor,,B,177,
2026-08-07,parkland-phase-2,johor,,C,123,
2026-08-14,straits-view-duo,johor,The Straits View Duo,A,129,378
2026-08-14,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-14,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-14,straits-view-duo,johor,The Straits View Duo,B,76,160
2026-08-14,straits-view-duo,johor,The Straits View Duo,B1,21,53
